2008.11.14,00:00,1.27850,1.28280,1.25710,1.26040,34494
2008.11.17,00:00,1.25370,1.27420,1.25120,1.26340,33492
2008.11.18,00:00,1.26350,1.27000,1.25660,1.26360,30530
2008.11.19,00:00,1.26370,1.28130,1.24720,1.24970,28606
2008.11.20,00:00,1.24920,1.25930,1.24340,1.24540,31530
2008.11.21,00:00,1.24530,1.26380,1.24230,1.25870,31574
2008.11.24,00:00,1.26080,1.29590,1.25630,1.29480,30907
2008.11.25,00:00,1.29440,1.30800,1.28030,1.30560,31221
2008.11.26,00:00,1.30570,1.30570,1.28190,1.28780,27310
2008.11.27,00:00,1.28770,1.29680,1.28600,1.28960,16163
2008.11.28,00:00,1.28990,1.29570,1.26460,1.26900,17196
2008.12.01,00:00,1.26940,1.27120,1.25850,1.26160,14684
2008.12.02,00:00,1.26150,1.27650,1.25620,1.27190,15846
2008.12.03,00:00,1.27210,1.27400,1.26000,1.27120,15118
2008.12.04,00:00,1.27130,1.28470,1.25490,1.27710,15418
2008.12.05,00:00,1.27720,1.27980,1.26270,1.27170,15619
2008.12.08,00:00,1.27230,1.29660,1.27140,1.29370,13464
2008.12.09,00:00,1.29360,1.30000,1.27990,1.29240,13283
2008.12.10,00:00,1.29250,1.30690,1.29030,1.30200,12648
2008.12.11,00:00,1.30190,1.34030,1.30000,1.33450,14930
2008.12.12,00:00,1.33420,1.34140,1.32500,1.33670,17448
2008.12.15,00:00,1.33940,1.37260,1.33920,1.37020,20309
2008.12.16,00:00,1.37010,1.41470,1.36290,1.40470,17538
2008.12.17,00:00,1.40480,1.44370,1.40080,1.44040,21178
2008.12.18,00:00,1.44030,1.47190,1.41860,1.42660,40000
2008.12.19,00:00,1.42650,1.43100,1.38220,1.39120,36973
2008.12.22,00:00,1.39240,1.41240,1.39020,1.39480,18103
2008.12.23,00:00,1.39470,1.40210,1.39150,1.39250,13586
2008.12.24,00:00,1.39240,1.40180,1.39180,1.39680,8186
2008.12.26,00:00,1.40620,1.41150,1.40180,1.40250,3509
2008.12.29,00:00,1.40730,1.43600,1.39140,1.39580,15776
2008.12.30,00:00,1.39570,1.42180,1.39390,1.41080,14611
2008.12.31,00:00,1.41070,1.41450,1.38490,1.39170,9593
2009.01.02,00:00,1.39640,1.39860,1.38400,1.39200,9573
2009.01.05,00:00,1.38850,1.39620,1.35460,1.36280,19672
2009.01.06,00:00,1.36290,1.36580,1.33130,1.34980,21521
2009.01.07,00:00,1.35000,1.37460,1.34320,1.36550,20898
2009.01.08,00:00,1.36560,1.37970,1.35330,1.37030,22195
2009.01.09,00:00,1.37040,1.37500,1.34140,1.34770,30216
2009.01.12,00:00,1.34610,1.34620,1.32890,1.33660,29385
2009.01.13,00:00,1.33640,1.33700,1.31400,1.31800,34350
2009.01.14,00:00,1.31790,1.33360,1.30930,1.31600,30717
2009.01.15,00:00,1.31640,1.32390,1.30260,1.31370,33548
2009.01.16,00:00,1.31360,1.33430,1.31360,1.32660,31139
2009.01.19,00:00,1.33510,1.33850,1.30580,1.30610,24527
2009.01.20,00:00,1.30620,1.31050,1.28550,1.28580,33766
2009.01.21,00:00,1.28590,1.30850,1.28240,1.30660,35269
2009.01.22,00:00,1.30650,1.30820,1.29060,1.30170,32112
2009.01.23,00:00,1.30160,1.30330,1.27640,1.29740,31562
2009.01.26,00:00,1.29180,1.32360,1.28610,1.32060,34183
2009.01.27,00:00,1.32070,1.33290,1.31180,1.31830,35957
2009.01.28,00:00,1.31820,1.33260,1.31020,1.31520,38016
2009.01.29,00:00,1.31510,1.31780,1.29320,1.29370,29854
2009.01.30,00:00,1.29380,1.29400,1.27630,1.28110,34257
2009.02.02,00:00,1.27510,1.28980,1.27060,1.28140,27848
2009.02.03,00:00,1.28150,1.30560,1.28000,1.30160,30937
2009.02.04,00:00,1.30150,1.30690,1.28120,1.28340,31614
2009.02.05,00:00,1.28350,1.29040,1.27600,1.27860,29478
2009.02.06,00:00,1.27870,1.29910,1.27460,1.29390,26563
2009.02.09,00:00,1.29710,1.30930,1.28730,1.30000,45870
2009.02.10,00:00,1.30010,1.30740,1.28100,1.29070,40732
2009.02.11,00:00,1.29080,1.29960,1.28320,1.28860,30771
2009.02.12,00:00,1.28900,1.29430,1.27200,1.28960,31605
2009.02.13,00:00,1.28950,1.29420,1.28200,1.28620,26531
2009.02.16,00:00,1.27920,1.28250,1.27260,1.27960,19590
